player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,year
Chris Naggar,57626,K,CLV,1,0,0,0,,0,0,,8,36.5,0,0,,2,1,50.0,0,1,1,100.0,1,1,100.0,0,0,,2021
Cade York,98975,K,CLV,17,0,7,4,57.1,8,6,75.0,8,59.6,0,0,,37,35,94.6,0,12,9,75.0,32,24,75.0,5,5,100.0,2022
Dustin Hopkins,7958,K,CLV,15,0,8,8,100.0,13,10,76.9,8,84.4,0,0,,26,24,92.3,0,7,7,100.0,36,33,91.7,8,8,100.0,2023
Riley Patterson,57556,K,CLV,15,0,2,1,50.0,2,2,100.0,8,59.5,0,0,,46,43,93.5,0,11,11,100.0,18,16,88.9,3,2,66.7,2023
Dustin Hopkins,7958,K,CLV,9,0,7,4,57.1,5,4,80.0,8,48.6,0,0,,12,10,83.3,0,5,5,100.0,18,14,77.8,1,1,100.0,2024
Dan Bailey,6796,K,DAL,16,0,7,6,85.7,10,10,100.0,9,80.0,2,2,100.0,47,47,100.0,0,9,8,88.9,30,28,93.3,2,2,100.0,2013
Dan Bailey,6796,K,DAL,18,0,9,6,66.7,10,8,80.0,9,70.7,0,0,,62,62,100.0,0,7,6,85.7,32,26,81.3,6,6,100.0,2014
Dan Bailey,6796,K,DAL,16,0,6,5,83.3,7,6,85.7,9,80.4,0,0,,25,25,100.0,0,10,10,100.0,32,30,93.8,9,9,100.0,2015
Dan Bailey,6796,K,DAL,17,0,8,5,62.5,9,7,77.8,9,77.6,0,0,,48,48,100.0,0,9,9,100.0,35,30,85.7,9,9,100.0,2016
Dan Bailey,6796,K,DAL,11,0,5,3,60.0,5,4,80.0,9,44.6,1,1,100.0,28,26,92.9,0,5,4,80.0,20,15,75.0,4,3,75.0,2017
Jeff Heath,8396,S,DAL,1,0,0,0,,0,0,,9,45.4,0,0,,3,2,66.7,0,0,0,,0,0,,0,0,,2017
Brett Maher,8585,K,DAL,18,0,8,6,75.0,11,7,63.6,9,75.1,0,0,,38,37,97.4,0,9,7,77.8,38,30,78.9,10,10,100.0,2018
Kai Forbath,6860,K,DAL,4,0,1,1,100.0,7,7,100.0,9,73.7,0,0,,12,11,91.7,0,1,1,100.0,11,11,100.0,2,2,100.0,2019
Brett Maher,8585,K,DAL,13,0,8,4,50.0,5,1,20.0,9,60.9,0,0,,36,36,100.0,0,8,6,75.0,30,20,66.7,9,9,100.0,2019
Greg Zuerlein,7163,K,DAL,16,0,9,3,33.3,13,12,92.3,9,76.1,1,1,100.0,36,33,91.7,0,13,13,100.0,41,34,82.9,5,5,100.0,2020
Greg Zuerlein,7163,K,DAL,16,0,6,3,50.0,9,7,77.8,9,58.1,0,0,,50,44,88.0,0,16,15,93.8,36,30,83.3,5,5,100.0,2021
Brett Maher,8585,K,DAL,19,1,11,9,81.8,8,7,87.5,9,71.5,0,0,,59,51,86.4,1,5,5,100.0,34,31,91.2,10,10,100.0,2022
Brandon Aubrey,156112,K,DAL,18,0,10,10,100.0,4,4,100.0,9,90.2,0,0,,54,50,92.6,0,16,14,87.5,39,37,94.9,9,9,100.0,2023
Brandon Aubrey,156112,K,DAL,9,0,10,9,90.0,7,7,100.0,9,95.0,0,0,,13,13,100.0,0,5,4,80.0,24,22,91.7,2,2,100.0,2024
Matt Prater,3471,K,DEN,18,0,8,7,87.5,10,9,90.0,10,86.8,3,3,100.0,80,80,100.0,0,6,6,100.0,32,30,93.8,5,5,100.0,2013
Connor Barth,4777,K,DEN,6,0,1,1,100.0,6,5,83.3,10,69.4,2,2,100.0,16,16,100.0,0,5,5,100.0,18,17,94.4,4,4,100.0,2014
Brandon McManus,8437,K,DEN,11,0,2,0,0.0,3,2,66.7,10,50.5,0,0,,41,41,100.0,0,3,2,66.7,13,9,69.2,5,5,100.0,2014
Brandon McManus,8437,K,DEN,19,0,9,7,77.8,11,8,72.7,10,77.1,0,0,,39,38,97.4,0,12,12,100.0,45,40,88.9,13,13,100.0,2015
Brandon McManus,8437,K,DEN,16,0,6,3,50.0,9,7,77.8,10,68.8,0,0,,33,32,97.0,0,10,10,100.0,34,29,85.3,9,9,100.0,2016
Brandon McManus,8437,K,DEN,15,0,6,3,50.0,6,4,66.7,10,52.9,0,0,,27,27,100.0,0,12,11,91.7,32,24,75.0,8,6,75.0,2017
Brandon McManus,8437,K,DEN,16,0,7,2,28.6,7,7,100.0,10,71.3,0,0,,35,35,100.0,0,6,6,100.0,25,20,80.0,5,5,100.0,2018
Brandon McManus,8437,K,DEN,16,0,7,4,57.1,12,10,83.3,10,67.7,0,0,,26,25,96.2,0,9,9,100.0,34,29,85.3,6,6,100.0,2019
Brandon McManus,8437,K,DEN,15,0,15,10,66.7,8,8,100.0,10,70.1,0,0,,27,24,88.9,0,5,4,80.0,34,28,82.4,6,6,100.0,2020
Taylor Russolino,101280,K,DEN,1,0,1,0,0.0,0,0,,10,27.6,0,0,,3,1,33.3,0,0,0,,1,0,0.0,0,0,,2020
Brandon McManus,8437,K,DEN,17,0,9,5,55.6,8,8,100.0,10,78.1,0,0,,34,33,97.1,0,6,6,100.0,31,26,83.9,8,7,87.5,2021
Brandon McManus,8437,K,DEN,17,0,13,8,61.5,10,10,100.0,10,64.7,0,0,,27,25,92.6,0,6,4,66.7,36,28,77.8,7,6,85.7,2022
Wil Lutz,11096,K,DEN,16,0,5,3,60.0,6,4,66.7,10,62.3,0,0,,31,29,93.5,0,13,12,92.3,35,30,85.7,11,11,100.0,2023
Wil Lutz,11096,K,DEN,10,0,4,2,50.0,7,7,100.0,10,71.3,0,0,,19,19,100.0,0,9,8,88.9,21,18,85.7,1,1,100.0,2024
David Akers,295,K,DET,16,0,3,3,100.0,7,4,57.1,11,52.1,1,1,100.0,43,42,97.7,0,7,5,71.4,24,19,79.2,6,6,100.0,2013
