player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,year
M.D. Jennings,6752,S,GB,17,14,0,88.9,0,0,12,1,1,46.2,56.1,84.3,48.6,79.0,68.9,0,0,0,0,25.0,11.5,9,0,0,148.8,16,1,0,167,6,489,835,0,0,0,0,0,629,835,21,325,32,11,55,3,18,1,5,184,51,11.5,2013
Jamari Lattimore,6754,LB,GB,11,7,0,75.0,0,0,12,0,0,53.6,63.1,86.6,90.9,61.4,48.7,0,2,0,0,14.0,14.7,5,0,0,103.1,15,2,0,208,0,127,265,39,0,0,39,0,0,226,16,122,18,16,22,2,20,4,1,105,46,7.0,2013
Nick Perry,7033,ED,GB,12,5,1,100.0,0,4,12,0,0,34.1,64.2,47.8,76.3,58.3,47.9,0,23,0,0,33.0,7.4,2,0,3,118.8,5,5,0,85,3,38,425,327,0,0,324,3,0,98,230,157,10,18,20,1,5,28,0,79,67,15.8,2013
Jerel Worthy,7054,ED,GB,3,0,0,,0,0,12,0,0,60.0,58.1,72.9,52.2,62.9,69.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,14,14,0,0,3,11,0,0,6,7,0,1,1,0,0,0,0,0,0,,2013
Casey Hayward Jr.,7064,CB,GB,3,2,0,71.4,0,0,12,0,0,73.2,72.4,79.3,45.4,72.1,47.1,0,0,0,0,11.0,18.2,2,1,0,87.2,5,0,0,9,5,47,87,0,0,0,0,0,0,87,5,35,73,3,7,0,7,0,0,43,23,8.6,2013
Mike Daniels,7132,DI,GB,17,3,0,,1,0,12,0,0,61.5,71.4,71.1,62.7,75.6,69.5,6,27,0,0,,9.5,2,0,1,0.0,0,8,0,0,0,2,542,542,33,11,26,472,0,0,373,167,0,23,16,3,0,41,0,0,0,,2013
Jerron McMillian,7133,S,GB,9,0,0,73.7,0,0,12,0,0,29.0,28.3,0.0,59.5,63.6,30.9,1,0,0,0,63.0,27.8,5,1,1,150.9,14,0,0,65,5,129,191,0,0,0,0,0,85,191,8,54,36,2,13,0,19,1,3,218,86,15.6,2013
Sean Richardson,7456,S,GB,7,1,0,33.3,0,0,12,0,0,60.9,62.6,79.0,54.5,65.1,75.6,0,1,0,0,11.0,6.7,1,0,0,84.7,1,0,0,40,2,102,173,0,0,0,0,0,113,173,3,68,17,4,13,1,3,1,1,11,0,11.0,2013
James Nixon,7494,CB,GB,2,0,0,,0,0,12,0,0,60.0,60.1,66.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,2013
Brandon Bostick,7605,TE,GB,1,0,0,,0,0,12,0,0,,60.0,64.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2013
