year,player_game_count,snap_counts_ce,snap_counts_rt,snap_counts_te,snap_counts_rg,snap_counts_pass_block,snap_counts_pass_play,snap_counts_block,grades_run_block,player,team_name,grades_offense,player_id,grades_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_offense,position
2023,15,0,0,0,0,0,521,250,49.5,DJ Chark Jr.,CAR,60.0,47702,,250,0,0,771,WR
2023,4,0,0,0,194,110,110,194,63.1,Gabe Jackson,CAR,58.1,8716,48.9,84,0,0,194,G
2023,12,0,0,194,0,16,98,136,62.1,Ian Thomas,CAR,56.9,42130,32.7,120,0,0,218,TE
2023,17,0,0,0,0,110,422,127,45.0,Chuba Hubbard,CAR,77.2,57373,61.6,17,0,0,679,HB
2023,9,0,0,0,0,0,229,105,40.0,Terrace Marshall Jr.,CAR,54.8,84271,,105,0,0,334,WR
2023,1,0,0,0,0,46,46,77,57.5,Brady Christensen,CAR,56.7,51985,51.4,31,0,77,77,G
2023,3,0,0,0,4,41,41,77,49.2,Justin McCray,CAR,41.0,9234,39.5,36,0,73,77,G
2023,1,0,0,0,13,44,44,74,49.0,Brett Toth,CAR,44.1,46848,32.3,30,0,61,74,G
2023,9,0,0,157,0,5,249,74,28.3,Hayden Hurst,CAR,44.7,47294,78.7,69,0,0,318,TE
2023,13,0,0,0,0,0,60,55,69.4,Ihmir Smith-Marsette,CAR,63.6,61324,,55,0,0,123,WR
2023,16,0,0,0,0,38,265,46,63.9,Miles Sanders,CAR,60.8,40555,23.3,8,0,0,406,HB
2023,11,0,0,48,0,3,136,38,49.8,Stephen Sullivan,CAR,60.9,40411,73.7,35,0,0,171,TE
2023,8,0,0,1,0,0,52,30,61.2,Laviska Shenault Jr.,CAR,67.4,61220,,30,0,0,93,WR
2023,4,0,0,0,0,0,32,22,45.6,Mike Strachan,CAR,54.6,143358,,22,0,0,54,WR
2023,3,0,0,0,0,0,67,12,60.0,Andy Dalton,CAR,81.1,6187,,12,0,0,81,QB
2023,3,0,0,2,0,1,6,7,40.9,Giovanni Ricci,CAR,50.9,13756,70.2,6,0,0,12,TE
2023,3,0,0,6,0,1,1,6,57.4,J.D. DiRenzo,CAR,46.2,108791,8.1,5,0,0,6,G
2023,11,0,0,0,0,2,33,3,60.0,Raheem Blackshear,CAR,63.7,57385,44.4,1,0,0,50,HB
2023,2,0,0,0,0,1,1,2,60.0,JJ Jansen,CAR,60.0,4712,61.5,1,0,0,2,LS
2023,2,0,0,0,0,1,1,2,60.0,Kamu Grugier-Hill,CAR,60.0,10842,62.7,1,0,0,2,LB
2023,1,0,0,0,0,0,0,1,60.0,Sam Franklin Jr.,CAR,60.0,43580,,1,0,0,1,S
2023,1,0,0,1,0,1,1,1,,David Sharpe,CAR,60.0,11884,68.5,0,0,0,1,T
2023,1,0,0,0,0,0,0,1,60.0,Jeremy Chinn,CAR,60.0,43179,,1,0,0,1,S
2023,2,0,0,0,0,0,1,1,60.0,Amare Barno,CAR,59.0,99780,,1,0,0,2,ED
2023,1,0,0,0,0,1,1,1,,Claudin Cherelus,CAR,60.0,52094,62.7,0,0,0,1,LB
2023,1,0,0,0,0,0,0,1,60.0,Alex Cook,CAR,60.0,61805,,1,0,0,1,S
2023,1,0,0,0,0,0,0,1,60.0,Tae Davis,CAR,60.0,26296,,1,0,0,1,LB
2023,1,0,0,0,0,1,1,1,,Chandler Wooten,CAR,60.0,57726,62.7,0,0,0,1,LB
2023,17,0,1121,6,0,646,646,1127,66.0,Darnell Wright,CHI,62.4,98480,61.4,481,0,0,1127,T
2023,16,953,0,0,0,563,563,953,61.6,Lucas Patrick,CHI,50.5,11435,40.6,390,0,0,953,C
2023,14,87,0,0,34,454,454,787,42.4,Cody Whitehair,CHI,45.0,10690,55.0,333,0,666,787,G
2023,12,0,0,0,276,397,397,731,71.7,Teven Jenkins,CHI,72.6,41534,68.6,334,0,455,731,G
2023,11,0,0,9,0,421,421,724,68.2,Braxton Jones,CHI,68.8,60092,70.8,303,715,0,724,T
2023,11,0,0,0,663,384,384,663,55.3,Nate Davis,CHI,52.9,46808,47.9,279,0,0,663,G
2023,17,0,0,519,0,65,508,427,54.9,Cole Kmet,CHI,73.7,60995,64.3,362,6,0,873,TE
2023,9,0,0,3,0,225,225,411,50.4,Larry Borom,CHI,48.0,59879,45.2,186,408,0,411,T
2023,17,0,0,1,0,0,615,405,64.1,DJ Moore,CHI,89.3,48267,,405,0,0,1024,WR
2023,17,0,6,321,0,64,106,288,73.7,Marcedes Lewis,CHI,77.1,2973,68.4,224,3,0,330,TE
2023,15,0,0,4,0,4,489,278,30.1,Darnell Mooney,CHI,55.2,48236,39.6,274,0,0,764,WR
2023,13,0,0,0,0,0,478,264,60.4,Justin Fields,CHI,74.6,82118,,264,0,0,824,QB
2023,5,0,5,0,159,100,100,175,44.8,Ja'Tyre Carter,CHI,49.0,78432,67.2,75,0,11,175,G
2023,17,0,0,8,0,8,271,166,45.8,Tyler Scott,CHI,52.7,123578,80.6,158,0,0,436,WR
2023,17,0,0,170,0,8,183,144,38.9,Robert Tonyan,CHI,49.6,12193,59.7,136,0,0,319,TE
2023,16,0,0,33,0,31,78,131,68.2,Khari Blasingame,CHI,55.8,44889,57.0,100,0,0,186,FB
2023,5,0,0,0,0,0,167,124,60.3,Tyson Bagent,CHI,57.7,169628,,124,0,0,304,QB
2023,15,0,0,7,0,68,270,112,62.7,Roschon Johnson,CHI,65.8,99467,64.8,44,0,0,394,HB
2023,7,0,0,6,0,2,118,95,43.9,Equanimeous St. Brown,CHI,55.1,47967,72.0,93,0,0,211,WR
2023,4,90,0,0,0,40,40,90,45.7,Dan Feeney,CHI,44.8,11826,44.8,50,0,0,90,C
2023,12,0,0,1,0,31,183,70,45.8,Khalil Herbert,CHI,77.9,41668,53.3,39,0,0,356,HB
2023,9,0,0,0,0,29,128,57,57.2,D'Onta Foreman,CHI,74.0,11844,29.5,28,0,0,267,HB
2023,14,0,0,0,0,1,65,56,53.8,Trent Taylor,CHI,51.8,11932,62.4,55,0,0,121,WR
2023,13,0,0,0,0,0,59,32,52.3,Velus Jones Jr.,CHI,53.1,40573,,32,0,0,99,WR
2023,3,0,0,1,0,0,15,25,70.8,Collin Johnson,CHI,66.9,47808,,25,0,0,40,WR
2023,3,0,0,0,0,0,3,3,60.0,Travis Homer,CHI,37.9,45859,,3,0,0,6,HB
2023,1,2,0,0,0,0,0,2,60.0,Doug Kramer,CHI,60.0,41458,,2,0,0,2,C
2023,2,0,0,0,0,0,1,1,60.0,Nathan Peterman,CHI,58.4,11926,,1,0,0,4,QB
2023,17,0,1086,1,0,730,730,1087,54.0,Jonah Williams,CIN,58.5,41651,57.9,357,0,0,1087,T
2023,17,0,0,0,0,730,730,1087,64.0,Cordell Volson,CIN,58.3,30614,46.7,357,0,1087,1087,G
2023,17,1075,0,0,0,725,725,1075,64.2,Ted Karras,CIN,67.4,10855,69.6,350,0,0,1075,C
2023,17,0,0,0,1066,716,716,1066,67.3,Alex Cappa,CIN,64.9,66578,58.6,350,0,0,1066,G
2023,17,0,0,2,0,714,714,1058,57.1,Orlando Brown Jr.,CIN,66.1,46227,66.6,344,1056,0,1058,T
2023,17,0,1,364,0,84,279,301,61.5,Drew Sample,CIN,60.0,47259,68.1,217,1,0,496,TE
2023,16,0,0,0,0,0,631,255,45.1,Ja'Marr Chase,CIN,85.3,84270,,255,0,0,889,WR
2023,17,0,0,0,0,1,611,212,30.4,Tyler Boyd,CIN,59.5,10689,66.2,211,0,0,824,WR
2023,10,0,0,0,0,0,422,163,60.0,Joe Burrow,CIN,77.9,28022,,163,0,0,602,QB
2023,17,0,0,199,0,19,90,158,45.8,Mitchell Wilcox,CIN,46.7,47234,74.0,139,0,0,229,TE
2023,9,0,0,0,0,1,301,157,60.0,Jake Browning,CIN,79.3,46401,60.9,156,0,0,468,QB
2023,12,0,0,5,0,1,419,155,66.8,Tee Higgins,CIN,72.1,61211,65.7,154,0,0,573,WR
2023,16,0,0,18,0,2,279,152,31.0,Trenton Irwin,CIN,57.0,48080,59.1,150,0,0,429,WR
2023,16,0,0,3,0,0,159,107,54.5,Andrei Iosivas,CIN,61.2,109811,,107,0,0,266,WR
2023,17,0,0,0,0,71,462,99,59.9,Joe Mixon,CIN,71.1,11803,29.7,28,0,0,751,HB
2023,12,0,0,177,0,6,243,93,53.8,Irv Smith Jr.,CIN,44.2,42060,53.6,87,0,0,330,TE
2023,12,0,0,38,21,31,33,76,58.1,Cody Ford,CIN,53.9,39805,41.5,45,18,0,78,G
2023,17,0,0,7,0,27,125,43,52.5,Trayveon Williams,CIN,58.9,45775,75.1,16,0,0,156,HB
2023,12,0,0,86,0,2,242,36,74.5,Tanner Hudson,CIN,73.0,66924,52.2,34,0,0,276,TE
2023,2,12,0,1,0,5,5,13,78.2,Max Scharping,CIN,78.1,46961,77.9,8,0,0,13,C
2023,11,0,0,0,0,8,44,13,58.7,Chase Brown,CIN,63.9,77787,26.7,5,0,0,93,HB
2023,8,0,0,0,0,0,30,12,37.6,Charlie Jones,CIN,65.8,55038,,12,0,0,44,WR
2023,1,0,0,0,0,5,5,12,57.7,Jackson Carman,CIN,56.6,52575,48.5,7,12,0,12,T
2023,2,0,0,0,0,0,7,10,60.0,A.J. McCarron,CIN,59.0,8799,,10,0,0,17,QB
2023,7,0,0,0,0,2,20,4,60.0,Chris Evans,CIN,51.9,27303,13.6,2,0,0,24,HB
2023,1,0,0,0,0,0,2,3,60.0,Kwamie Lassiter II,CIN,58.4,23226,,3,0,0,5,WR
2023,1,0,0,0,0,1,3,3,59.4,Shedrick Jackson,CIN,60.7,84136,65.4,2,0,0,5,WR
2023,1,0,0,0,0,0,3,1,60.0,Stanley Morgan,CIN,54.5,48110,,1,0,0,4,WR
2023,17,0,0,0,1253,759,759,1254,74.0,Wyatt Teller,CLV,72.7,46131,67.3,495,0,1,1254,G
2023,16,0,0,0,0,665,665,1107,60.8,Joel Bitonio,CLV,67.9,8670,71.0,442,0,1107,1107,G
2023,16,1070,0,0,0,635,635,1070,68.0,Ethan Pocic,CLV,70.8,11813,72.9,435,0,0,1070,C
2023,11,0,710,1,1,419,419,712,53.5,Dawand Jones,CLV,64.7,101550,73.0,293,0,0,712,T
2023,11,0,0,3,0,453,453,708,37.2,Geron Christian,CLV,45.6,46375,55.0,255,705,0,708,T
