season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,NYG,1,00-0036400,LB,Cam Brown,Cam,Brown,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 18:24:21,injury_reports_2023.csv,1.0,LB,NYG
2023,REG,NYG,1,00-0037260,DI,D.J. Davidson,D.J.,Davidson,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 18:24:21,injury_reports_2023.csv,1.0,DT,NYG
2023,REG,NYJ,1,00-0036501,CB,Michael Carter,Michael,Carter,,,,Elbow,,Full Participation in Practice,2023-09-09 19:00:26,injury_reports_2023.csv,0.0,CB,NYJ
2023,REG,PHI,1,00-0037136,CB,Mario Goodrich,Mario,Goodrich,,,,Illness,,Full Participation in Practice,2023-09-08 19:46:44,injury_reports_2023.csv,0.0,CB,PHI
2023,REG,PHI,1,00-0037137,CB,Josh Jobe,Josh,Jobe,,,,Illness,,Full Participation in Practice,2023-09-08 19:46:38,injury_reports_2023.csv,0.0,CB,PHI
2023,REG,PIT,1,00-0027969,DI,Cameron Heyward,Cameron,Heyward,,,,Not injury related - resting player,Stomach,Full Participation in Practice,2023-09-08 19:26:09,injury_reports_2023.csv,0.0,DT,PIT
2023,REG,PIT,1,00-0033905,DI,Larry Ogunjobi,Larry,Ogunjobi,Foot,,Questionable,Foot,,Limited Participation in Practice,2023-09-08 19:26:55,injury_reports_2023.csv,1.0,DT,PIT
2023,REG,SEA,1,00-0036409,LB,Jordyn Brooks,Jordyn,Brooks,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-09-08 21:04:53,injury_reports_2023.csv,0.0,LB,SEA
2023,REG,SEA,1,00-0039047,LB,Derick Hall,Derick,Hall,,,,Shoulder,,Full Participation in Practice,2023-09-08 21:05:17,injury_reports_2023.csv,0.0,LB,SEA
2023,REG,SEA,1,00-0038133,LB,Boye Mafe,Boye,Mafe,,,,Illness,,Full Participation in Practice,2023-09-08 21:05:06,injury_reports_2023.csv,0.0,LB,SEA
2023,REG,SEA,1,00-0038591,ED,Mike Morris,Mike,Morris,,,,Shoulder,,Full Participation in Practice,2023-09-08 21:04:43,injury_reports_2023.csv,0.0,DE,SEA
2023,REG,SEA,1,00-0032387,DI,Jarran Reed,Jarran,Reed,,,,Toe,,Full Participation in Practice,2023-09-08 21:06:00,injury_reports_2023.csv,0.0,DT,SEA
2023,REG,SEA,1,00-0036413,LB,Darrell Taylor,Darrell,Taylor,,,,Shoulder,,Full Participation in Practice,2023-09-08 21:04:43,injury_reports_2023.csv,0.0,LB,SEA
2023,REG,SEA,1,00-0033872,S,Jamal Adams,Jamal,Adams,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-08 19:48:24,injury_reports_2023.csv,3.0,S,SEA
2023,REG,SEA,1,00-0039169,CB,Devon Witherspoon,Devon,Witherspoon,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 19:49:41,injury_reports_2023.csv,1.0,CB,SEA
2023,REG,SF,1,00-0035717,ED,Nick Bosa,Nick,Bosa,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 19:44:52,injury_reports_2023.csv,0.0,DE,SF
2023,REG,SF,1,00-0034754,LB,Oren Burks,Oren,Burks,,,,Knee,,Full Participation in Practice,2023-09-08 19:45:52,injury_reports_2023.csv,0.0,LB,SF
2023,REG,SF,1,00-0028924,S,Tashaun Gipson,Tashaun,Gipson,,,,Back,,Full Participation in Practice,2023-09-08 19:45:34,injury_reports_2023.csv,0.0,S,SF
2023,REG,SF,1,00-0036564,S,Talanoa Hufanga,Talanoa,Hufanga,,,,Knee,Not injury related - personal ,Full Participation in Practice,2023-09-08 19:45:44,injury_reports_2023.csv,0.0,S,SF
2023,REG,SF,1,00-0034091,S,George Odum,George,Odum,,,,Shoulder,,Full Participation in Practice,2023-09-08 19:44:30,injury_reports_2023.csv,0.0,S,SF
2023,REG,SF,1,00-0034573,CB,Charvarius Ward,Charvarius,Ward,Heel,,Questionable,Heel,,Limited Participation in Practice,2023-09-08 19:46:24,injury_reports_2023.csv,1.0,CB,SF
2023,REG,TB,1,00-0038823,S,Kaevon Merriweather,Kaevon,Merriweather,,,,Quadricep,,Full Participation in Practice,2023-09-08 18:41:45,injury_reports_2023.csv,0.0,S,TB
2023,REG,TB,1,00-0035254,LB,Anthony Nelson,Anthony,Nelson,,,,Hamstring,,Full Participation in Practice,2023-09-08 18:42:08,injury_reports_2023.csv,0.0,LB,TB
2023,REG,TB,1,00-0036411,S,Antoine Winfield,Antoine,Winfield,,,,Calf,,Full Participation in Practice,2023-09-08 18:41:45,injury_reports_2023.csv,0.0,S,TB
2023,REG,TB,1,00-0039063,DI,Calijah Kancey,Calijah,Kancey,Calf,,Questionable,Calf,,Full Participation in Practice,2023-09-08 18:42:16,injury_reports_2023.csv,1.0,DT,TB
2023,REG,TEN,1,00-0034825,LB,Arden Key,Arden,Key,,,,Calf,,Full Participation in Practice,2023-09-08 19:03:44,injury_reports_2023.csv,0.0,LB,TEN
2023,REG,TEN,1,00-0037593,CB,Tre Avery,Tre,Avery,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 19:04:45,injury_reports_2023.csv,3.0,CB,TEN
2023,REG,TEN,1,00-0034828,LB,Harold Landry,Harold,Landry,Abdomen,,Questionable,Abdomen,,Full Participation in Practice,2023-09-08 19:04:37,injury_reports_2023.csv,1.0,LB,TEN
2023,REG,WAS,1,00-0036625,CB,Benjamin St-Juste,Benjamin,St-Juste,,,,Ankle,,Full Participation in Practice,2023-09-08 17:15:41,injury_reports_2023.csv,0.0,CB,WAS
2023,REG,WAS,1,00-0036351,ED,James Smith-Williams,James,Smith-Williams,Oblique,,Questionable,Oblique,,Limited Participation in Practice,2023-09-08 17:16:07,injury_reports_2023.csv,1.0,DE,WAS
2023,REG,WAS,1,00-0036321,ED,Chase Young,Chase,Young,Neck,,Questionable,Neck,,Limited Participation in Practice,2023-09-08 17:16:07,injury_reports_2023.csv,1.0,DE,WAS
2023,REG,ARZ,2,00-0035636,ED,L.J. Collier,L.J.,Collier,Biceps,,Out,Biceps,,Did Not Participate In Practice,2023-09-15 19:55:48,injury_reports_2023.csv,3.0,DE,ARI
2023,REG,ARZ,2,00-0034801,LB,Josh Woods,Josh,Woods,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-09-15 19:55:40,injury_reports_2023.csv,3.0,LB,ARI
2023,REG,ARZ,2,00-0033890,S,Budda Baker,Budda,Baker,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-15 19:54:13,injury_reports_2023.csv,1.0,S,ARI
2023,REG,ARZ,2,00-0036371,DI,Leki Fotu,Leki,Fotu,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-09-15 19:54:13,injury_reports_2023.csv,1.0,DT,ARI
2023,REG,ATL,2,00-0026190,ED,Calais Campbell,Calais,Campbell,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-13 20:56:52,injury_reports_2023.csv,0.0,DE,ATL
