season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,attempts,player_game_count
2023,REG,ARZ,8,00-0035228,QB,Kyler Murray,Kyler,Murray,Knee,,Doubtful,Knee,,Full Participation in Practice,2023-10-27 20:02:49,injury_reports_2023.csv,0.0,QB,ARI,Kyler Murray,ARZ,268,8
2023,REG,ARZ,9,00-0035228,QB,Kyler Murray,Kyler,Murray,Knee,,Questionable,Knee,,Full Participation in Practice,2023-11-03 19:27:28,injury_reports_2023.csv,0.0,QB,ARI,Kyler Murray,ARZ,268,8
2023,REG,ARZ,15,00-0035228,QB,Kyler Murray,Kyler,Murray,,,,right Thumb,,Full Participation in Practice,2023-12-15 20:44:20,injury_reports_2023.csv,0.0,QB,ARI,Kyler Murray,ARZ,268,8
2023,REG,ARZ,17,00-0035228,QB,Kyler Murray,Kyler,Murray,Illness,,Questionable,Illness,,Limited Participation in Practice,2023-12-29 19:34:54,injury_reports_2023.csv,0.0,QB,ARI,Kyler Murray,ARZ,268,8
2023,REG,BUF,7,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-10-20 20:54:56,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,8,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-10-25 17:38:10,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,9,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-11-03 18:03:05,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,10,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-11-11 19:15:39,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,11,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-11-17 20:16:05,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,12,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-11-24 21:34:33,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,14,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-12-08 19:06:49,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,15,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-12-15 20:55:18,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,16,00-0034857,QB,Josh Allen,Josh,Allen,,,,right Shoulder,,Full Participation in Practice,2023-12-21 20:14:54,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,BUF,18,00-0034857,QB,Josh Allen,Josh,Allen,,,,Neck,right Finger,Full Participation in Practice,2024-01-05 19:49:30,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,WC,BUF,19,00-0034857,QB,Josh Allen,Josh,Allen,,,,Neck,,Full Participation in Practice,2024-01-12 19:54:34,injury_reports_2023.csv,0.0,QB,BUF,Josh Allen,BUF,648,19
2023,REG,CHI,7,00-0036945,QB,Justin Fields,Justin,Fields,right Thumb,,Out,right Thumb,,Did Not Participate In Practice,2023-10-20 18:37:43,injury_reports_2023.csv,3.0,QB,CHI,Justin Fields,CHI,370,13
2023,REG,CHI,8,00-0036945,QB,Justin Fields,Justin,Fields,right Thumb,,Out,right Thumb,,Did Not Participate In Practice,2023-10-27 19:06:51,injury_reports_2023.csv,3.0,QB,CHI,Justin Fields,CHI,370,13
2023,REG,CHI,9,00-0036945,QB,Justin Fields,Justin,Fields,right Thumb,,Doubtful,right Thumb,,Limited Participation in Practice,2023-11-03 18:39:14,injury_reports_2023.csv,0.0,QB,CHI,Justin Fields,CHI,370,13
2023,REG,CHI,10,00-0036945,QB,Justin Fields,Justin,Fields,right Thumb,,Doubtful,right Thumb,,Limited Participation in Practice,2023-11-08 21:19:06,injury_reports_2023.csv,0.0,QB,CHI,Justin Fields,CHI,370,13
2023,REG,CHI,11,00-0036945,QB,Justin Fields,Justin,Fields,,,,right Thumb,,Full Participation in Practice,2023-11-17 19:40:20,injury_reports_2023.csv,0.0,QB,CHI,Justin Fields,CHI,370,13
