season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,DEN,2,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Hamstring,,Full Participation in Practice,2023-09-15 20:17:12,injury_reports_2023.csv,0.0,WR,DEN
2023,REG,DEN,2,00-0037252,TE,Greg Dulcich,Greg,Dulcich,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-15 20:17:29,injury_reports_2023.csv,3.0,TE,DEN
2023,REG,GB,2,00-0037816,WR,Romeo Doubs,Romeo,Doubs,,,,Hamstring,,Full Participation in Practice,2023-09-15 19:06:16,injury_reports_2023.csv,0.0,WR,GB
2023,REG,GB,2,00-0038124,WR,Christian Watson,Christian,Watson,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-15 19:09:24,injury_reports_2023.csv,1.0,WR,GB
2023,REG,HST,2,00-0037614,WR,John Metchie,John,Metchie,,,,Hamstring,,Full Participation in Practice,2023-09-15 20:09:16,injury_reports_2023.csv,0.0,WR,HOU
2023,REG,HST,2,00-0034383,TE,Dalton Schultz,Dalton,Schultz,,,,Thigh,,Full Participation in Practice,2023-09-15 20:08:55,injury_reports_2023.csv,0.0,TE,HOU
2023,REG,HST,2,00-0030431,WR,Robert Woods,Robert,Woods,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-15 20:08:55,injury_reports_2023.csv,0.0,WR,HOU
2023,REG,IND,2,00-0036876,TE,Kylen Granson,Kylen,Granson,Hamstring,,Questionable,,,"
    ",2023-09-16 16:07:40,injury_reports_2023.csv,1.0,TE,IND
2023,REG,IND,2,00-0037292,TE,Andrew Ogletree,Andrew,Ogletree,Concussion,,Questionable,Concussion,,Full Participation in Practice,2023-09-15 19:11:00,injury_reports_2023.csv,1.0,TE,IND
2023,REG,KC,2,00-0034286,WR,Richie James,Richie,James,,,,Knee,,Full Participation in Practice,2023-09-15 19:06:40,injury_reports_2023.csv,0.0,WR,KC
2023,REG,KC,2,00-0036913,WR,Kadarius Toney,Kadarius,Toney,,,,Knee,,Full Participation in Practice,2023-09-15 19:06:40,injury_reports_2023.csv,0.0,WR,KC
2023,REG,KC,2,00-0030506,TE,Travis Kelce,Travis,Kelce,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-15 19:08:03,injury_reports_2023.csv,1.0,TE,KC
2023,REG,LA,2,00-0039075,WR,Puka Nacua,Puka,Nacua,Oblique,,Questionable,Oblique,,Limited Participation in Practice,2023-09-15 20:01:18,injury_reports_2023.csv,1.0,WR,LA
2023,REG,LV,2,00-0031381,WR,Davante Adams,Davante,Adams,,,,Foot,,Full Participation in Practice,2023-09-15 20:14:40,injury_reports_2023.csv,0.0,WR,LV
2023,REG,LV,2,00-0031763,WR,DeAndre Carter,DeAndre,Carter,,,,Knee,,Full Participation in Practice,2023-09-15 20:15:24,injury_reports_2023.csv,0.0,WR,LV
