season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,snap_counts_offense,player_game_count
2023,REG,DAL,17,00-0027947,T,Tyron Smith,Tyron,Smith,Back,,Questionable,Back,,Limited Participation in Practice,2023-12-28 20:46:01,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,18,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-01-04 20:41:23,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,WC,DAL,19,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-01-11 20:48:39,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DET,1,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Not injury related - resting p,Full Participation in Practice,2023-09-06 20:48:34,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,2,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Not injury related - resting p,Did Not Participate In Practice,2023-09-15 19:53:42,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,3,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Not injury related - resting p,Full Participation in Practice,2023-09-22 19:54:18,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,4,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Not injury related - resting p,Full Participation in Practice,2023-09-27 19:52:11,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,5,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Not injury related - resting p,Did Not Participate In Practice,2023-10-06 19:32:47,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,6,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Not injury related - resting p,Full Participation in Practice,2023-10-13 19:51:30,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,7,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,,Full Participation in Practice,2023-10-20 19:46:53,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,8,00-0034345,C,Frank Ragnow,Frank,Ragnow,Toe,Calf,Doubtful,Toe,Calf,Did Not Participate In Practice,2023-10-28 19:46:28,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,10,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,,Full Participation in Practice,2023-11-10 21:51:53,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,11,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Back,Full Participation in Practice,2023-11-17 20:56:11,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,12,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,,Full Participation in Practice,2023-11-22 20:44:13,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,13,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Back,Toe,Full Participation in Practice,2023-12-01 20:33:41,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,14,00-0034345,C,Frank Ragnow,Frank,Ragnow,Knee,Toe,Out,Knee,Toe,Did Not Participate In Practice,2023-12-08 20:42:40,injury_reports_2023.csv,3.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,15,00-0034345,C,Frank Ragnow,Frank,Ragnow,Knee,"back, toe",Questionable,Knee,"back, toe",Full Participation in Practice,2023-12-14 20:40:22,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,16,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,"Knee, Back, Toe",Not injury related - resting p,Full Participation in Practice,2023-12-22 20:12:34,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,17,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Back,"Knee, Toe, Rest",Did Not Participate In Practice,2023-12-28 20:46:10,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,DET,18,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Knee,"back, toe, rest",Full Participation in Practice,2024-01-05 20:42:05,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,WC,DET,19,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,"Knee, Back, Toe",,Full Participation in Practice,2024-01-12 20:35:13,injury_reports_2023.csv,0.0,C,DET,Frank Ragnow,DET,1190,18
2023,REG,GB,1,00-0030074,T,David Bakhtiari,David,Bakhtiari,,,,Not injury related - resting player,Knee,Did Not Participate In Practice,2023-09-08 18:51:02,injury_reports_2023.csv,0.0,T,GB,David Bakhtiari,GB,55,1
2023,REG,GB,2,00-0030074,T,David Bakhtiari,David,Bakhtiari,Not injury related - resting player,Knee,Questionable,Not injury related - resting player,Knee,Did Not Participate In Practice,2023-09-15 19:09:24,injury_reports_2023.csv,0.0,T,GB,David Bakhtiari,GB,55,1
2023,REG,GB,3,00-0030074,T,David Bakhtiari,David,Bakhtiari,Not injury related - resting player,Knee,Questionable,Not injury related - resting player,Knee,Did Not Participate In Practice,2023-09-22 19:38:29,injury_reports_2023.csv,0.0,T,GB,David Bakhtiari,GB,55,1
2023,REG,GB,4,00-0030074,T,David Bakhtiari,David,Bakhtiari,Not injury related - resting player,Knee,Out,Not injury related - resting player,Knee,Did Not Participate In Practice,2023-09-27 19:53:06,injury_reports_2023.csv,3.0,T,GB,David Bakhtiari,GB,55,1
2023,REG,KC,1,00-0035149,G,Nick Allegretti,Nick,Allegretti,,,,Pectoral,,Full Participation in Practice,2023-09-06 19:49:55,injury_reports_2023.csv,0.0,G,KC,Nick Allegretti,KC,253,11
2023,REG,LA,1,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-08 19:52:17,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,3,00-0034804,C,Brian Allen,Brian,Allen,,,,Illness,,Full Participation in Practice,2023-09-23 19:39:20,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,5,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-06 19:46:24,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,6,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-13 19:55:23,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,7,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-20 19:53:25,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,8,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-27 19:44:58,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,9,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-03 19:43:32,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,11,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-17 20:47:56,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,12,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-24 21:53:17,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,13,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-01 20:38:52,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,14,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-08 20:51:30,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,15,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-15 20:04:36,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,17,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-29 20:36:00,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,LA,18,00-0034804,C,Brian Allen,Brian,Allen,,,,Illness,,Full Participation in Practice,2024-01-05 20:33:57,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,WC,LA,19,00-0034804,C,Brian Allen,Brian,Allen,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-01-12 20:39:48,injury_reports_2023.csv,0.0,C,LA,Brian Allen,LA,34,3
2023,REG,MIA,1,00-0037010,T,Liam Eichenberg,Liam,Eichenberg,,,,Ribs,,Full Participation in Practice,2023-09-08 19:44:37,injury_reports_2023.csv,0.0,T,MIA,Liam Eichenberg,MIA,876,17
2023,REG,MIA,15,00-0037010,G,Liam Eichenberg,Liam,Eichenberg,Calf,,Questionable,Calf,,Limited Participation in Practice,2023-12-15 20:57:32,injury_reports_2023.csv,0.0,G,MIA,Liam Eichenberg,MIA,876,17
2023,REG,MIA,16,00-0037010,G,Liam Eichenberg,Liam,Eichenberg,,,,Calf,,Limited Participation in Practice,2023-12-22 20:56:16,injury_reports_2023.csv,0.0,G,MIA,Liam Eichenberg,MIA,876,17
2023,REG,MIA,17,00-0037010,G,Liam Eichenberg,Liam,Eichenberg,Calf,Ankle,Questionable,Calf,Ankle,Limited Participation in Practice,2023-12-29 20:55:13,injury_reports_2023.csv,0.0,G,MIA,Liam Eichenberg,MIA,876,17
2023,REG,MIA,18,00-0037010,G,Liam Eichenberg,Liam,Eichenberg,,,,Calf,Ankle,Full Participation in Practice,2024-01-05 20:49:48,injury_reports_2023.csv,0.0,G,MIA,Liam Eichenberg,MIA,876,17
2023,WC,MIA,19,00-0037010,G,Liam Eichenberg,Liam,Eichenberg,,,,Calf,Ankle,Full Participation in Practice,2024-01-11 20:56:31,injury_reports_2023.csv,0.0,G,MIA,Liam Eichenberg,MIA,876,17
2023,REG,MIA,1,00-0034352,C,Connor Williams,Connor,Williams,,,,Knee,,Full Participation in Practice,2023-09-08 19:44:37,injury_reports_2023.csv,0.0,C,MIA,Connor Williams,MIA,497,9
2023,REG,MIA,2,00-0034352,C,Connor Williams,Connor,Williams,,,,Knee,,Full Participation in Practice,2023-09-15 19:57:20,injury_reports_2023.csv,0.0,C,MIA,Connor Williams,MIA,497,9
2023,REG,MIA,4,00-0034352,C,Connor Williams,Connor,Williams,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-09-29 19:57:21,injury_reports_2023.csv,0.0,C,MIA,Connor Williams,MIA,497,9
2023,REG,MIA,5,00-0034352,C,Connor Williams,Connor,Williams,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-10-06 19:54:21,injury_reports_2023.csv,0.0,C,MIA,Connor Williams,MIA,497,9
2023,REG,MIA,6,00-0034352,C,Connor Williams,Connor,Williams,Groin,,Out,Groin,,Did Not Participate In Practice,2023-10-13 19:37:38,injury_reports_2023.csv,3.0,C,MIA,Connor Williams,MIA,497,9
2023,REG,MIA,7,00-0034352,C,Connor Williams,Connor,Williams,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-10-20 19:47:42,injury_reports_2023.csv,0.0,C,MIA,Connor Williams,MIA,497,9
2023,REG,MIA,8,00-0034352,C,Connor Williams,Connor,Williams,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-10-27 19:54:10,injury_reports_2023.csv,0.0,C,MIA,Connor Williams,MIA,497,9
