team_name,position,weighted_injury_score,injury_score,snap_share,snap_counts_defense,snap_counts_offense,attempts,routes
NO,G,0.3583210101239904,3.0,1.0,,8791.0,,
NO,T,0.8692197770791654,27.0,1.0,,17495.0,,
NYG,C,0.0,0.0,1.0,,32.0,,
NYG,G,0.44742880280739644,6.0,1.0,,7409.0,,
NYG,T,1.2343608340888488,36.0,1.0,,13236.0,,
NYJ,C,0.5797232932637787,3.0,1.0,,4409.0,,
NYJ,G,0.9928160919540231,12.0,0.9999999999999999,,2088.0,,
NYJ,T,0.13042159538974823,18.0,1.0,,19782.0,,
PHI,G,1.2820411392405062,12.0,1.0,,7584.0,,
PHI,T,0.0,0.0,1.0,,2076.0,,
PIT,C,0.0,0.0,1.0,,1135.0,,
PIT,G,0.30836556075717486,6.0,1.0,,19652.0,,
PIT,T,0.0,0.0,1.0,,2140.0,,
SEA,C,0.0,0.0,1.0,,7640.0,,
SEA,G,0.25334655428854735,9.0,1.0,,18153.0,,
SEA,T,0.767383810769048,12.0,1.0,,8413.0,,
SF,C,0.0,0.0,1.0,,1887.0,,
SF,G,0.47812786784949524,6.0,1.0,,13076.0,,
SF,T,0.0403101692908725,3.0,1.0,,16894.0,,
TB,C,0.0,0.0,1.0,,2472.0,,
TB,G,0.3569667077681874,6.0,1.0,,6488.0,,
TB,T,0.0,0.0,1.0,,8637.0,,
TEN,C,0.0,0.0,1.0,,4404.0,,
TEN,G,0.25346534653465347,3.0,1.0,,9090.0,,
TEN,T,1.0677392040643523,15.0,1.0,,7086.0,,
WAS,C,0.9589589589589589,9.0,1.0,,2997.0,,
WAS,G,1.1182608695652174,3.0,1.0,,1725.0,,
WAS,T,0.0,0.0,1.0,,1954.0,,
ARZ,QB,0.6000000000000001,3.0,1.0,,,1340.0,
ATL,QB,0.0,0.0,1.0,,,796.0,
BLT,QB,1.4480823199251638,3.0,1.0,,,1069.0,
BUF,QB,0.0,0.0,1.0,,,7128.0,
CAR,QB,0.5870776086149276,3.0,1.0,,,2693.0,
CHI,QB,1.1138986452584045,6.0,1.0,,,1993.0,
CIN,QB,0.3914908830890239,3.0,1.0,,,2797.0,
CLV,QB,0.5766299745977985,9.0,1.0,,,2362.0,
DAL,QB,0.0,0.0,1.0,,,24.0,
HST,QB,0.49213883120735685,3.0,1.0,,,3371.0,
IND,QB,1.5,3.0,1.0,,,168.0,
JAX,QB,0.35419719489219176,3.0,1.0,,,4777.0,
KC,QB,0.0,0.0,1.0,,,3019.0,
LA,QB,0.0,0.0,1.0,,,2228.0,
LAC,QB,0.0,0.0,1.0,,,3192.0,
LV,QB,0.5715896279594137,3.0,1.0,,,887.0,
MIA,QB,0.0,0.0,1.0,,,1806.0,
MIN,QB,0.1275239107332625,6.0,1.0,,,941.0,
NO,QB,0.0,0.0,1.0,,,3343.0,
NYG,QB,1.1045655375552283,9.0,1.0,,,1358.0,
NYJ,QB,2.041692213366033,27.0,1.0,,,1631.0,
PHI,QB,0.0,0.0,1.0,,,1146.0,
PIT,QB,1.125,9.0,1.0,,,2592.0,
SEA,QB,0.0,0.0,1.0,,,2571.0,
SF,QB,0.0,0.0,1.0,,,1656.0,
TB,QB,0.0,0.0,1.0,,,3858.0,
TEN,QB,0.35114503816793896,6.0,1.0,,,3930.0,
WAS,QB,0.0,0.0,1.0,,,46.0,
ARZ,TE,0.0,0.0,1.0,,,,883.0
ARZ,WR,0.740854884094868,15.0,1.0,,,,7463.0
ATL,TE,0.0,0.0,1.0,,,,1591.0
ATL,WR,1.347245409015025,9.0,1.0,,,,1797.0
BLT,TE,0.93048128342246,3.0,1.0,,,,935.0
BLT,WR,0.25687871450583316,3.0,1.0,,,,4543.0
BUF,TE,0.21984997114829774,9.0,1.0,,,,5199.0
BUF,WR,0.43700787401574803,3.0,1.0,,,,3810.0
CAR,TE,1.0454763044518909,27.0,1.0,,,,4178.0
CAR,WR,0.0,0.0,1.0,,,,8195.0
CHI,TE,0.0,0.0,1.0,,,,2874.0
CHI,WR,1.481162540365985,18.0,1.0,,,,2787.0
CIN,TE,0.0,0.0,1.0,,,,743.0
CIN,WR,0.7016272716474641,18.0,1.0,,,,8419.0
CLV,TE,0.0,0.0,1.0,,,,8700.0
CLV,WR,0.40349917987971573,27.0,1.0,,,,14632.0
DAL,TE,0.5,3.0,1.0,,,,390.0
DAL,WR,0.0,0.0,1.0,,,,8908.0
DEN,TE,0.8367346938775511,18.0,1.0,,,,588.0
DEN,WR,0.3058823529411765,3.0,1.0,,,,4590.0
DET,TE,0.5269516728624535,15.0,1.0,,,,3228.0
DET,WR,0.2601129598534575,6.0,1.0,,,,6551.0
GB,TE,0.3420647149460709,3.0,1.0,,,,2596.0
GB,WR,0.15267697036973785,6.0,1.0,,,,11711.0
HST,TE,1.3488076311605723,15.0,1.0,,,,3145.0
HST,WR,0.399293766127937,15.0,1.0,,,,14726.0
IND,TE,1.1903864278982095,12.0,1.0,,,,2122.0
IND,WR,0.0,0.0,1.0,,,,2293.0
JAX,TE,0.4730983302411874,3.0,1.0,,,,539.0
JAX,WR,1.0823353293413174,24.0,1.0,,,,6012.0
KC,TE,0.0,0.0,1.0,,,,5198.0
KC,WR,0.5030303030303029,21.0,1.0,,,,10395.0
LA,TE,0.0,0.0,1.0,,,,2375.0
LA,WR,0.0,0.0,1.0,,,,9090.0
LAC,TE,0.4469316866074874,9.0,0.9999999999999999,,,,2591.0
LAC,WR,0.9415397282832441,15.0,1.0,,,,7287.0
LV,TE,2.2356687898089174,9.0,1.0,,,,1099.0
LV,WR,0.24242885405569928,3.0,1.0,,,,6571.0
MIA,TE,0.0,0.0,1.0,,,,3487.0
MIA,WR,0.12291105121293802,6.0,1.0,,,,12985.0
MIN,TE,0.0,0.0,1.0,,,,2148.0
MIN,WR,0.11574158325750682,12.0,1.0,,,,5495.0
NE,TE,0.5063868613138687,3.0,1.0,,,,2192.0
NE,WR,1.0416991426344504,33.0,1.0,,,,7698.0
NO,TE,0.762544557170277,9.0,1.0,,,,3647.0
NO,WR,0.1955535390199637,3.0,1.0,,,,6612.0
NYG,TE,0.27698309492847856,3.0,1.0,,,,3845.0
NYG,WR,0.0,0.0,0.9999999999999999,,,,5971.0
NYJ,TE,0.8232682060390764,9.0,1.0,,,,1126.0
NYJ,WR,0.24233453161344892,6.0,1.0,,,,4729.0
PHI,TE,0.9600742804085423,12.0,1.0,,,,3231.0
PHI,WR,0.6612959719789843,15.0,1.0,,,,8565.0
PIT,TE,0.9057720769610261,6.0,1.0,,,,2027.0
PIT,WR,0.33770949720670396,3.0,1.0,,,,3580.0
SEA,TE,0.0,0.0,1.0,,,,3172.0
SEA,WR,0.005519779208831647,6.0,0.9999999999999999,,,,6522.0
SF,TE,0.17412935323383083,15.0,1.0,,,,1809.0
SF,WR,0.847451343836886,12.0,1.0,,,,5395.0
TB,TE,1.0,3.0,1.0,,,,162.0
TB,WR,0.028465116279069766,6.0,1.0,,,,10750.0
TEN,TE,0.34296977660972405,9.0,1.0,,,,1522.0
TEN,WR,0.4059734513274336,27.0,1.0,,,,13560.0
WAS,TE,0.9490171990171989,3.0,1.0,,,,1628.0
WAS,WR,0.18339416058394162,3.0,1.0,,,,6576.0
ARZ,HB,0.5529661016949152,9.0,1.0,,,944.0,
ATL,HB,0.0,0.0,1.0,,,550.0,
BLT,HB,0.3134796238244514,3.0,1.0,,,957.0,
BUF,HB,0.0,0.0,1.0,,,727.0,
CAR,HB,0.298151001540832,3.0,1.0,,,1298.0,
CHI,FB,1.0,3.0,1.0,,,24.0,
CHI,HB,0.6671744097486672,9.0,1.0,,,1313.0,
CIN,HB,0.1390937829293994,3.0,1.0,,,949.0,
CLV,HB,0.0,0.0,1.0,,,2921.0,
DAL,HB,0.1672794117647059,3.0,1.0,,,1632.0,
DEN,HB,0.0,0.0,1.0,,,805.0,
DET,FB,2.25,9.0,1.0,,,4.0,
DET,HB,0.9838274932614555,12.0,1.0,,,2226.0,
GB,HB,0.3387096774193548,6.0,1.0,,,3224.0,
HST,FB,0.6000000000000001,3.0,1.0,,,25.0,
HST,HB,1.7526315789473685,9.0,1.0,,,760.0,
IND,HB,0.9736594543744121,12.0,1.0,,,2126.0,
JAX,HB,0.0,0.0,1.0,,,82.0,
KC,HB,0.7087015635622026,15.0,1.0,,,2942.0,
LA,HB,0.7237237237237237,3.0,1.0,,,999.0,
LAC,HB,0.5761802575107295,3.0,1.0,,,932.0,
LV,HB,0.7467948717948718,3.0,1.0,,,936.0,
MIA,FB,0.0,0.0,1.0,,,14.0,
MIA,HB,0.0,0.0,1.0,,,3150.0,
MIN,HB,0.7551020408163265,6.0,1.0,,,735.0,
NE,HB,0.9416498993963782,9.0,1.0,,,1491.0,
NO,FB,1.5,3.0,1.0,,,4.0,
NO,HB,0.6707404744787923,18.0,1.0,,,1391.0,
NYG,HB,0.3084539223153085,9.0,1.0,,,2626.0,
NYJ,FB,0.0,0.0,1.0,,,4.0,
NYJ,HB,0.0,0.0,0.9999999999999999,,,1649.0,
PHI,HB,0.3163097199341022,9.0,1.0,,,1214.0,
PIT,HB,0.0,0.0,1.0,,,1869.0,
SEA,HB,0.0,0.0,1.0,,,354.0,
SF,FB,0.0,0.0,1.0,,,7.0,
SF,HB,0.6104003301692117,9.0,1.0,,,2423.0,
TB,HB,0.0,0.0,1.0,,,383.0,
TEN,HB,0.0,0.0,0.9999999999999999,,,4400.0,
WAS,HB,1.2669039145907472,6.0,1.0,,,843.0,
