year,snap_counts_coverage,snap_counts_run_defense,player_game_count,snap_counts_dl_over_t,snap_counts_fs,snap_counts_pass_rush,grades_defense,grades_run_defense,grades_pass_rush_defense,grades_tackle,snap_counts_defense,snap_counts_dl_outside_t,snap_counts_slot,player,team_name,grades_coverage_defense,grades_defense_penalty,snap_counts_dl_a_gap,player_id,snap_counts_offball,position,snap_counts_dl,snap_counts_dl_b_gap,snap_counts_box,snap_counts_corner
2023,20,182,19,3,0,425,58.7,56.1,64.3,29.2,627,615,0,Leonard Floyd,BUF,33.4,54.3,0,10643,3,ED,624,6,3,0
2023,8,154,18,17,0,192,46.2,48.5,54.5,28.5,354,331,0,Shaq Lawson,BUF,36.7,54.0,0,10653,2,ED,352,4,1,0
2023,13,5,4,0,0,1,53.7,55.4,60.0,76.0,19,0,1,Tyler Matakevich,BUF,57.6,72.8,0,10880,19,LB,0,0,16,0
2023,116,64,4,0,0,2,68.0,29.9,68.7,51.8,182,5,2,Tre'Davious White,BUF,79.0,5.3,0,11782,177,CB,5,0,22,153
2023,617,417,17,0,1,6,81.0,78.0,69.9,55.8,1040,16,24,Rasul Douglas,BUF,81.8,29.3,0,11854,1024,CB,16,0,78,921
2023,122,75,5,0,5,14,70.9,65.4,59.5,45.0,211,7,23,Matt Milano,BUF,73.6,11.9,0,11918,204,LB,7,0,175,1
2023,38,9,8,0,1,3,42.1,63.8,74.0,78.5,50,0,36,Siran Neal,BUF,35.8,85.6,0,27130,50,CB,0,0,10,1
2023,383,194,14,0,0,1,62.7,28.8,60.0,33.6,578,21,4,Dane Jackson,BUF,69.7,87.3,0,32989,557,CB,21,0,14,539
2023,0,0,1,0,0,1,60.0,,60.0,,1,0,0,Reggie Gilliam,BUF,,60.0,0,40951,1,FB,0,0,0,0
2023,6,272,18,372,0,539,65.6,48.5,77.3,41.0,817,45,0,Ed Oliver,BUF,67.3,30.1,11,42200,12,DI,805,377,12,0
2023,25,5,4,0,13,1,61.9,56.2,59.1,71.6,31,4,6,Damar Hamlin,BUF,64.5,75.1,0,43291,27,S,4,0,8,0
2023,1,64,8,21,0,86,59.3,47.6,71.5,37.8,151,1,0,Poona Ford,BUF,59.5,81.4,3,48875,0,DI,151,126,0,0
2023,3,161,19,51,0,249,55.2,43.5,63.5,26.9,413,1,0,Tim Settle,BUF,62.9,86.7,13,48966,1,DI,412,347,0,0
2023,0,31,2,16,0,31,38.1,30.1,60.6,31.0,62,25,0,Kendal Vickers,BUF,,79.7,0,48993,0,DI,62,21,0,0
2023,149,29,13,0,72,1,65.3,70.9,59.4,72.8,179,2,76,Cam Lewis,BUF,63.0,81.1,0,49395,177,S,2,0,27,0
2023,654,356,19,0,7,34,77.3,61.5,69.3,75.9,1044,38,770,Taron Johnson,BUF,81.0,66.8,0,49511,1006,CB,38,0,220,9
2023,293,254,16,0,1,42,90.2,86.1,72.8,54.7,589,33,53,Tyrel Dodson,BUF,88.4,53.9,0,51045,556,LB,33,0,490,11
2023,284,133,14,0,252,5,56.4,57.9,77.1,85.6,422,12,72,Taylor Rapp,BUF,57.6,4.8,0,51172,410,S,12,0,82,2
2023,1,7,1,0,0,0,63.0,60.9,,,8,1,0,Ja'Marcus Ingram,BUF,60.0,70.2,0,55738,7,CB,1,0,2,5
2023,8,181,17,3,0,249,75.8,53.0,75.0,42.8,438,433,0,A.J. Epenesa,BUF,85.2,63.4,0,56369,1,ED,437,1,0,0
2023,1,24,12,0,0,72,77.7,63.3,74.7,53.0,97,96,0,Kingsley Jonathan,BUF,60.7,81.0,0,56856,1,ED,96,0,0,0
2023,589,368,18,0,13,74,65.9,69.9,79.5,43.7,1031,17,51,Terrel Bernard,BUF,54.8,86.9,0,57739,1014,LB,17,0,947,2
2023,21,21,5,0,0,1,45.8,62.3,60.0,78.9,43,0,2,Baylon Spector,BUF,39.1,74.4,0,57782,43,LB,0,0,40,0
2023,0,0,1,0,0,1,60.0,,60.0,,1,0,0,Quintin Morris,BUF,,60.1,0,61182,1,TE,0,0,0,0
2023,19,222,18,77,0,419,87.1,79.6,75.2,38.6,660,547,0,Greg Rousseau,BUF,75.7,90.3,0,76889,4,ED,656,32,3,0
2023,552,284,16,0,1,1,83.0,75.7,58.8,83.7,837,4,5,Christian Benford,BUF,83.3,63.7,0,79181,833,CB,4,0,28,798
2023,0,0,1,0,0,1,60.0,,60.0,,1,0,0,Khalil Shakir,BUF,,60.4,0,84140,1,WR,0,0,0,0
2023,1,0,1,0,0,0,70.2,,,,1,0,0,Deonte Harty,BUF,60.7,60.0,0,91470,1,WR,0,0,0,0
2023,125,94,14,0,0,19,52.9,71.8,65.4,43.3,238,6,9,Dorian Williams,BUF,41.1,15.6,0,97694,232,LB,6,0,219,4
2023,134,74,3,0,0,2,65.7,62.3,54.9,63.6,210,6,3,Kaiir Elam,BUF,65.8,82.6,0,98693,204,CB,6,0,14,187
2023,30,35,2,0,0,3,65.3,65.8,64.3,43.2,68,0,3,Shaq Thompson,CAR,59.9,75.2,0,9458,68,LB,0,0,65,0
2023,317,160,16,0,1,16,61.3,58.4,41.0,40.7,493,3,360,Troy Hill,CAR,66.9,0.0,0,9881,490,CB,3,0,65,64
2023,0,204,16,180,0,239,50.0,46.1,58.1,32.3,443,48,0,DeShawn Williams,CAR,60.4,69.2,4,9891,0,DI,443,211,0,0
