season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,routes,player_game_count,total_position_snaps,snap_share,player_weighted_score
2023,REG,CAR,6,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-11 19:02:48,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,8,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-25 19:05:11,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,9,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-01 18:56:42,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,12,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-22 19:54:01,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,13,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-29 20:02:46,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,14,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-06 19:51:56,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,15,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-13 19:06:15,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,16,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Limited Participation in Practice,2023-12-20 19:07:01,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,17,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-27 18:58:05,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,4,00-0039062,WR,Jonathan Mingo,Jonathan,Mingo,Concussion,,Questionable,Concussion,,Full Participation in Practice,2023-09-29 17:07:23,injury_reports_2023.csv,0.0,WR,CAR,Jonathan Mingo,CAR,539,15,8195,0.06577181208053691,0.0
2023,REG,CAR,13,00-0039062,WR,Jonathan Mingo,Jonathan,Mingo,,,,Achilles,,Full Participation in Practice,2023-12-01 17:49:57,injury_reports_2023.csv,0.0,WR,CAR,Jonathan Mingo,CAR,539,15,8195,0.06577181208053691,0.0
2023,REG,CHI,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:13:52,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,2,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-14 19:03:27,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,3,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-21 22:12:39,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,4,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-28 19:01:29,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,6,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-12 20:36:07,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,7,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-19 18:52:36,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,8,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-26 19:42:34,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,9,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-02 18:55:33,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,11,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-16 19:49:15,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,12,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-24 19:52:11,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,14,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-07 21:14:32,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,15,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-14 21:15:19,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,16,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-22 22:34:20,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,17,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-28 19:16:28,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,18,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-01-04 20:24:09,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,2874,0.013569937369519834,0.0
2023,REG,CHI,1,00-0033757,TE,Robert Tonyan,Robert,Tonyan,Back,,Questionable,,,"
    ",2023-09-09 21:52:37,injury_reports_2023.csv,0.0,TE,CHI,Robert Tonyan,CHI,164,17,2874,0.05706332637439109,0.0
2023,REG,CHI,6,00-0036290,TE,Cole Kmet,Cole,Kmet,,,,Hamstring,,Full Participation in Practice,2023-10-13 20:51:12,injury_reports_2023.csv,0.0,TE,CHI,Cole Kmet,CHI,425,17,2874,0.14787752261656228,0.0
