player,player_id,position,team_name,player_game_count,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,pass_plays,year
James Conner,11860,HB,ARZ,16,90.0,69.4,81.9,89.1,84.8,340,2021
Antoine Wesley,39967,WR,ARZ,15,70.5,74.4,60.1,,58.8,287,2021
Maxx Williams,9488,TE,ARZ,5,81.7,73.3,77.9,70.0,77.6,124,2021
Eno Benjamin,57136,HB,ARZ,8,76.5,83.1,65.1,46.6,83.3,58,2021
Darrell Daniels,12122,TE,ARZ,16,41.6,68.7,49.9,67.0,36.2,112,2021
Demetrius Harris,8524,TE,ARZ,14,70.5,69.5,43.9,64.8,41.8,101,2021
Jonathan Ward,25859,HB,ARZ,5,70.5,74.4,83.2,26.6,90.9,29,2021
Greg Dortch,42237,WR,ARZ,2,70.5,75.2,63.5,,61.2,23,2021
Andy Isabella,47448,WR,ARZ,5,64.7,65.3,57.0,,56.9,25,2021
Marquise Brown,61568,WR,ARZ,12,79.5,47.7,69.2,,69.6,523,2022
DeAndre Hopkins,7808,WR,ARZ,9,90.1,25.5,72.9,,73.5,388,2022
Zach Ertz,7816,TE,ARZ,10,85.8,79.7,62.5,29.6,66.6,411,2022
Greg Dortch,42237,WR,ARZ,16,90.5,88.4,64.2,,67.6,366,2022
James Conner,11860,HB,ARZ,13,54.5,54.4,69.7,73.8,51.4,430,2022
Rondale Moore,62890,WR,ARZ,8,60.4,79.3,63.4,,63.6,301,2022
A.J. Green,6156,WR,ARZ,15,66.6,76.3,55.6,,55.1,384,2022
Robbie Chosen,11254,WR,ARZ,16,70.5,24.3,51.2,,52.6,343,2022
Trey McBride,75916,TE,ARZ,15,77.8,27.8,50.9,81.2,53.6,363,2022
Andre Baccellia,47901,WR,ARZ,8,75.6,69.5,56.4,,57.4,80,2022
Darrel Williams,13014,HB,ARZ,5,73.4,78.4,64.9,29.6,53.2,75,2022
Stephen Anderson,11160,TE,ARZ,14,26.5,65.8,33.9,19.6,30.0,63,2022
Corey Clement,12253,HB,ARZ,4,45.8,76.8,63.9,12.4,69.2,52,2022
Keaontay Ingram,77761,HB,ARZ,10,42.1,79.1,48.1,27.1,49.1,61,2022
Maxx Williams,9488,TE,ARZ,11,70.5,65.8,56.6,56.6,49.6,71,2022
Pharoh Cooper,10751,WR,ARZ,3,68.3,83.4,46.8,,55.5,13,2022
Kamu Grugier-Hill,10842,LB,ARZ,1,64.7,61.2,89.6,,90.3,1,2022
Ty'Son Williams,38287,HB,ARZ,1,64.7,61.2,61.7,,64.5,2,2022
Trey McBride,75916,TE,ARZ,17,78.8,51.5,76.3,55.1,80.5,455,2023
Marquise Brown,61568,WR,ARZ,14,73.0,79.9,67.1,,68.1,499,2023
Rondale Moore,62890,WR,ARZ,17,52.5,51.2,53.6,,50.5,517,2023
Michael Wilson,84423,WR,ARZ,13,81.9,77.9,68.3,68.1,68.7,444,2023
Zach Ertz,7816,TE,ARZ,7,36.0,75.9,50.8,29.4,51.7,203,2023
Greg Dortch,42237,WR,ARZ,13,85.7,88.8,68.2,,71.2,258,2023
James Conner,11860,HB,ARZ,13,86.5,90.8,89.2,68.0,69.2,269,2023
Michael Carter,57337,HB,ARZ,15,63.2,81.9,60.8,37.4,52.2,187,2023
Emari Demercado,77763,HB,ARZ,14,59.2,84.9,73.4,74.7,44.7,220,2023
Elijah Higgins,98027,TE,ARZ,11,64.4,72.7,63.6,68.4,70.4,100,2023
Zach Pascal,12303,WR,ARZ,14,41.6,67.0,47.6,,46.6,103,2023
Geoff Swaim,9679,TE,ARZ,14,60.2,71.5,50.2,66.6,53.4,145,2023
Tony Jones Jr.,40498,HB,ARZ,7,52.1,79.7,60.1,50.9,49.6,99,2023
Damien Williams,9205,HB,ARZ,3,68.3,74.4,72.7,80.2,66.7,13,2023
Trey McBride,75916,TE,ARZ,9,90.4,79.3,81.7,67.3,84.0,270,2024
Marvin Harrison Jr.,145056,WR,ARZ,10,70.8,28.4,79.4,,79.4,276,2024
Michael Wilson,84423,WR,ARZ,10,68.1,27.5,64.5,66.2,65.8,279,2024
Greg Dortch,42237,WR,ARZ,10,61.3,33.1,59.8,,59.1,197,2024
James Conner,11860,HB,ARZ,10,74.9,46.9,83.4,67.2,56.4,195,2024
Elijah Higgins,98027,TE,ARZ,10,65.9,73.0,64.9,39.0,69.0,108,2024
Emari Demercado,77763,HB,ARZ,10,78.7,79.6,74.8,46.6,71.7,96,2024
Trey Benson,131705,HB,ARZ,8,73.4,45.9,62.6,85.0,75.2,38,2024
Tip Reiman,129423,TE,ARZ,10,68.3,64.0,50.0,74.0,42.8,91,2024
Zay Jones,11792,WR,ARZ,4,64.7,61.2,55.4,,55.4,35,2024
Xavier Weaver,101130,WR,ARZ,1,,,49.8,,49.8,30,2024
Alge Crumpler,805,TE,ATL,16,42.5,79.9,73.2,75.2,72.7,530,2006
Michael Jenkins,1750,WR,ATL,16,28.7,78.2,54.3,80.7,54.2,558,2006
Ashley Lelie,1026,WR,ATL,15,37.7,76.1,61.0,,60.1,393,2006
Roddy White,2244,WR,ATL,15,40.0,27.2,63.2,,62.5,298,2006
Justin Griffith,1433,FB,ATL,16,62.5,19.5,60.9,84.6,56.0,232,2006
Warrick Dunn,236,HB,ATL,16,39.5,86.8,56.4,67.9,43.2,424,2006
Jerious Norwood,3024,HB,ATL,14,80.6,88.1,78.3,85.9,80.2,80,2006
Dwayne Blakley,1219,TE,ATL,16,74.6,68.8,52.6,60.4,51.3,138,2006
Fred McCrary,142,FB,ATL,13,70.5,65.8,76.2,87.4,64.9,53,2006
Corey McIntyre,1278,FB,ATL,1,64.7,61.2,62.9,74.3,77.3,5,2006
Michael Vick,773,QB,ATL,16,,43.7,66.8,61.3,60.0,531,2006
DeAngelo Hall,1729,CB,ATL,1,64.7,18.4,25.7,,29.3,1,2006
Adam Jennings,3129,WR,ATL,5,,61.9,49.8,,53.5,14,2006
Roddy White,2244,WR,ATL,16,65.0,28.9,77.9,,77.2,617,2007
Michael Jenkins,1750,WR,ATL,15,47.8,79.8,65.6,19.5,66.4,445,2007
Laurent Robinson,3691,WR,ATL,15,55.4,29.1,57.7,,57.4,369,2007
