team_name,year,position,score
NYJ,2020,QB,680.1066689466484
NYJ,2021,QB,451.89309251669266
NYJ,2022,QB,352.62057941881784
NYJ,2023,QB,126.4970382772197
NYJ,2024,QB,2022.7495858823531
OAK,2006,QB,5.17239048495281
OAK,2007,QB,59.421030791003375
OAK,2008,QB,17.202236356816904
OAK,2009,QB,37.833351480836235
OAK,2010,QB,107.62124153134745
OAK,2011,QB,330.61501591308155
OAK,2012,QB,280.63542731325435
OAK,2013,QB,8.57212359036879
OAK,2014,QB,254.28303969022264
OAK,2015,QB,515.4775952380953
OAK,2016,QB,385.9432746583482
OAK,2017,QB,382.1867778491735
OAK,2018,QB,371.6079668623688
OAK,2019,QB,445.18520608439655
PHI,2006,QB,67.30460784313725
PHI,2007,QB,74.31393488372092
PHI,2008,QB,86.47329812206573
PHI,2009,QB,131.16380635664834
PHI,2010,QB,118.11914333418956
PHI,2011,QB,150.91872007923843
PHI,2012,QB,159.84377211754264
PHI,2013,QB,156.076247848537
PHI,2014,QB,148.36682742765757
PHI,2015,QB,242.01064331874616
PHI,2016,QB,219.9596782302664
PHI,2017,QB,281.07595207625434
PHI,2018,QB,300.8994375730425
PHI,2019,QB,240.14181288652378
PHI,2020,QB,189.84514149033106
PHI,2021,QB,113.68899538736237
PHI,2022,QB,103.98758591608686
PHI,2023,QB,201.22383913764514
PHI,2024,QB,129.24927654810094
PIT,2006,QB,598.1450353825741
PIT,2007,QB,851.5457914438504
PIT,2008,QB,659.6976857956953
PIT,2009,QB,1226.1027270041725
PIT,2010,QB,641.1544718226273
PIT,2011,QB,768.5949830817284
PIT,2012,QB,739.4976807511738
PIT,2013,QB,1809.0527396876926
PIT,2014,QB,861.4940804169769
PIT,2015,QB,593.719018879228
PIT,2016,QB,713.4094780219779
PIT,2017,QB,822.0845836645468
PIT,2018,QB,791.5658586125033
PIT,2019,QB,385.53721150432006
PIT,2020,QB,456.28306655433875
PIT,2021,QB,500.7572247543085
PIT,2022,QB,102.06548808316431
PIT,2023,QB,53.93401917595232
PIT,2024,QB,863.7621114652757
SD,2006,QB,745.2054117113754
SD,2007,QB,748.5560869457395
SD,2008,QB,1653.975696024266
SD,2009,QB,936.3257421788941
SD,2010,QB,942.3031316813771
SD,2011,QB,1588.1436639118458
SD,2012,QB,1391.6804361549498
SD,2013,QB,1604.0576113203904
SD,2014,QB,1093.4202877777168
SD,2015,QB,702.0880298906195
SD,2016,QB,763.9339478044741
SEA,2006,QB,170.61434997832055
SEA,2007,QB,122.25595102775408
SEA,2008,QB,156.28621901590824
SEA,2009,QB,180.16134424950215
SEA,2010,QB,188.5269055234826
SEA,2011,QB,75.02047484223574
SEA,2012,QB,665.6111109695178
SEA,2013,QB,652.0478599556976
SEA,2014,QB,696.187285886802
SEA,2015,QB,605.828495861292
SEA,2016,QB,1177.3722409435552
SEA,2017,QB,1207.8869259606372
SEA,2018,QB,1305.1226868327399
SEA,2019,QB,1248.3953990228013
SEA,2020,QB,814.5899488036778
SEA,2021,QB,800.8832976827096
SEA,2022,QB,346.0593264248704
SEA,2023,QB,225.8067267098227
SEA,2024,QB,671.0759280411195
SF,2006,QB,697.210588235294
SF,2007,QB,232.66137372843875
SF,2008,QB,71.86504289215685
SF,2009,QB,539.645995638214
SF,2010,QB,333.53481561431914
SF,2011,QB,507.2081870822918
SF,2012,QB,434.0031135396802
SF,2013,QB,126.88208283313324
SF,2014,QB,156.50121646392267
SF,2015,QB,159.2873298673988
SF,2016,QB,133.99081841432223
SF,2017,QB,260.80582281495595
