player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_offense,year
Ricky Seals-Jones,12020,TE,ARZ,8,80.7,,54.7,133,2017
Elijhaa Penny,11300,HB,ARZ,14,68.5,75.7,67.0,96,2017
Adrian Peterson,3623,HB,ARZ,10,51.8,21.5,69.8,300,2017
Kerwynn Williams,8013,HB,ARZ,16,63.6,43.2,60.0,240,2017
Ifeanyi Momah,8557,TE,ARZ,9,48.9,,47.8,49,2017
D.J. Foster,11214,HB,ARZ,7,65.8,77.2,60.0,138,2017
Chad Williams,11853,WR,ARZ,6,60.9,,63.0,98,2017
Chris Johnson,4338,HB,ARZ,4,58.4,35.4,60.0,107,2017
Daniel Munyer,10174,C,ARZ,1,63.0,68.3,,10,2017
Brittan Golden,7481,WR,ARZ,9,47.9,,36.4,74,2017
Khalif Barnes,2269,T,ARZ,2,49.6,,52.6,8,2017
Gabe Holmes,9980,TE,ARZ,2,34.6,,60.4,12,2017
David Johnson,9519,HB,ARZ,1,40.9,46.0,72.4,46,2017
Vinston Painter,7955,T,ARZ,1,60.0,,59.9,3,2017
Max Tuerk,10700,C,ARZ,1,60.0,,60.0,1,2017
C.J. Goodwin,9243,CB,ARZ,1,60.0,,60.0,1,2017
Mason Cole,45547,C,ARZ,16,53.6,41.9,59.5,942,2018
D.J. Humphries,9457,T,ARZ,9,70.1,62.9,74.9,522,2018
Mike Iupati,5542,G,ARZ,10,65.7,47.5,73.8,477,2018
Oday Aboushi,7923,G,ARZ,7,63.7,77.8,57.1,407,2018
Joe Barksdale,6244,T,ARZ,10,62.6,75.4,51.9,388,2018
Korey Cunningham,38555,T,ARZ,6,60.4,57.7,57.2,349,2018
Justin Pugh,7800,G,ARZ,7,53.1,52.1,51.3,343,2018
John Wetzel,8088,T,ARZ,8,57.1,49.2,65.3,339,2018
Larry Fitzgerald,1724,WR,ARZ,16,73.2,,61.5,872,2018
Jermaine Gresham,5546,TE,ARZ,13,49.7,79.8,51.3,417,2018
Josh Rosen,35460,QB,ARZ,14,49.1,,60.1,781,2018
Colby Gossett,46673,G,ARZ,5,46.0,45.6,51.2,282,2018
Christian Kirk,47546,WR,ARZ,12,70.3,,55.1,542,2018
Ricky Seals-Jones,12020,TE,ARZ,15,52.8,83.6,50.5,536,2018
Jeremy Vujnovich,8928,G,ARZ,3,56.8,28.7,65.4,147,2018
Will Holden,11912,T,ARZ,4,45.7,42.8,50.4,147,2018
Chad Williams,11853,WR,ARZ,10,53.7,65.7,58.1,430,2018
Trent Sherfield,48021,WR,ARZ,9,58.1,66.2,81.0,343,2018
David Johnson,9519,HB,ARZ,16,64.1,71.4,59.4,749,2018
John Phillips,5132,TE,ARZ,8,63.1,69.3,59.0,130,2018
Daniel Munyer,10174,G,ARZ,3,38.9,47.3,41.2,86,2018
J.J. Nelson,9592,WR,ARZ,14,48.9,,65.7,213,2018
Derrick Coleman,7377,FB,ARZ,16,67.8,77.9,66.1,75,2018
Gabe Holmes,9980,TE,ARZ,8,53.6,77.5,56.7,81,2018
Darrell Daniels,12122,TE,ARZ,7,46.9,64.6,52.8,88,2018
Sam Bradford,5526,QB,ARZ,3,41.4,,60.0,135,2018
Jalen Tolliver,66933,WR,ARZ,3,57.9,,61.4,78,2018
Chase Edmonds,45851,HB,ARZ,16,60.5,49.7,60.0,199,2018
Mike Glennon,7854,QB,ARZ,2,57.5,,60.0,26,2018
Pharoh Cooper,10751,WR,ARZ,2,57.1,,60.0,6,2018
Malachi Dupre,12002,WR,ARZ,1,54.7,,55.6,5,2018
Blaine Clausell,9860,TE,ARZ,1,60.0,,59.9,2,2018
Dennis Gardeck,66928,LB,ARZ,1,60.0,,60.0,1,2018
Gerald Hodges,7902,LB,ARZ,1,60.0,,60.0,1,2018
Andy Lee,1906,P,ARZ,1,60.0,,60.0,1,2018
Zack Golditch,46885,T,ARZ,1,60.0,,60.0,1,2018
