player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Keondre Coburn,2023,4,4.016616,1.004154,0.176616,0.004,4.563362,1.14084,0.200657,00-0038985,2023,TEN,DL,NT,91.0,2000-05-23,KC,194.0,23.0
David Moa,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0035985,2023,TEN,DL,DT,50.0,1996-06-14,,,27.0
Shakel Brown,2023,3,2.715,0.905,0.105,0.004,3.084569,1.02819,0.119293,00-0038842,2023,TEN,DL,DT,91.0,1998-12-04,,,25.0
TK McLendon,2023,3,2.701,0.900333,0.02,0.004,3.068663,1.022887,0.022722,00-0038850,2023,TEN,DL,DE,69.0,1999-02-27,,,25.0
Harold Landry,2022,5,87.5,17.5,52.5,0.084,107.336695,21.467339,64.402017,00-0034828,2023,TEN,LB,OLB,58.0,1996-06-05,TEN,41.0,27.0
Arden Key,2023,3,21.0,7.0,13.0,0.031,23.858541,7.952847,14.769573,00-0034825,2023,TEN,LB,OLB,49.0,1996-05-03,OAK,87.0,27.0
Rashad Weaver,2021,4,4.139664,1.034916,0.659664,0.006,5.793261,1.448315,0.923168,00-0036938,2023,TEN,LB,OLB,99.0,1997-11-10,TEN,135.0,26.0
Trevis Gipson,2023,1,1.25,1.25,0.25,0.006,1.420151,1.420151,0.28403,00-0036305,2023,TEN,LB,OLB,51.0,1997-06-13,CHI,155.0,26.0
Thomas Rush,2023,3,2.71,0.903333,0.175,0.004,3.078888,1.026296,0.198821,00-0038854,2023,TEN,LB,OLB,48.0,2000-01-31,,,24.0
Caleb Murphy,2023,3,2.7,0.9,0.015,0.004,3.067527,1.022509,0.017042,00-0038851,2023,TEN,LB,OLB,42.0,1999-12-15,,,24.0
Azeez Al-Shaair,2023,1,5.0,5.0,4.25,0.022,5.680605,5.680605,4.828514,00-0035166,2023,TEN,LB,ILB,2.0,1997-08-04,,,26.0
Luke Gifford,2023,2,4.0,2.0,1.0,0.009,4.544484,2.272242,1.136121,00-0035413,2023,TEN,LB,OLB,57.0,1995-08-28,,,28.0
Joseph Jones,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033659,2023,TEN,LB,ILB,52.0,1994-02-21,,,30.0
Garret Wallow,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036844,2023,TEN,LB,OLB,54.0,1999-01-25,HOU,170.0,25.0
Tae Crowder,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0036167,2023,TEN,LB,ILB,53.0,1997-03-12,NYG,255.0,27.0
Chance Campbell,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037312,2023,TEN,LB,ILB,45.0,1999-10-08,TEN,219.0,24.0
JoJo Domann,2023,2,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0037393,2023,TEN,LB,OLB,47.0,1997-07-28,,,26.0
Jack Gibbens,2022,3,2.561,0.853667,0.001,0.004,3.141592,1.047198,0.001227,00-0037596,2023,TEN,LB,ILB,50.0,1998-11-24,,,25.0
Otis Reese,2023,3,2.7,0.9,0.01,0.004,3.067527,1.022509,0.011361,00-0038853,2023,TEN,LB,ILB,41.0,1998-07-02,,,25.0
Caleb Farley,2021,4,13.495586,3.373897,13.495586,0.018,18.886426,4.721607,18.886426,00-0036615,2023,TEN,DB,CB,3.0,1998-11-02,TEN,22.0,25.0
Sean Murphy-Bunting,2023,1,3.5,3.5,3.5,0.016,3.976423,3.976423,3.976423,00-0035239,2023,TEN,DB,CB,0.0,1997-06-19,TB,39.0,26.0
Roger McCreary,2022,4,9.165614,2.291404,7.245757,0.011,11.243505,2.810877,8.888407,00-0038125,2023,TEN,DB,CB,21.0,2000-02-10,TEN,35.0,24.0
Darius Phillips,2023,1,1.13,1.13,0.05,0.005,1.283817,1.283817,0.056806,00-0034683,2023,TEN,DB,CB,29.0,1995-06-26,CIN,170.0,28.0
Kristian Fulton,2020,4,5.330196,1.332549,2.898786,0.007,6.868477,1.717119,3.735368,00-0036416,2023,TEN,DB,CB,26.0,1998-09-03,TEN,61.0,25.0
Elijah Molden,2021,4,4.78585,1.196463,0.840616,0.007,6.697568,1.674393,1.176402,00-0036992,2023,TEN,DB,CB,24.0,1999-01-30,TEN,100.0,25.0
Kendall Sheffield,2023,1,1.21,1.21,0.05,0.005,1.374706,1.374706,0.056806,00-0035255,2023,TEN,DB,CB,36.0,1996-05-30,ATL,111.0,27.0
Tay Gowan,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036897,2023,TEN,DB,CB,30.0,1998-01-07,ARI,223.0,26.0
Josh Thompson,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037070,2023,TEN,DB,SS,29.0,1998-10-20,,,25.0
Tre Avery,2022,3,2.56,0.853333,0.0,0.004,3.140365,1.046788,0.0,00-0037593,2023,TEN,DB,CB,23.0,1997-02-26,,,27.0
Steven Jones,2023,3,2.705,0.901666,0.025,0.004,3.073207,1.024402,0.028403,00-0038846,2023,TEN,DB,CB,36.0,,,,
Anthony Kendall,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038848,2023,TEN,DB,CB,40.0,1999-12-17,,,24.0
LJ Davis,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038960,2023,TEN,DB,CB,38.0,,,,
Armani Marsh,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038963,2023,TEN,DB,CB,38.0,1999-02-17,,,25.0
