player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Herb Miller,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0035210,2023,BUF,DB,CB,36.0,1997-11-11,,,26.0
Ja'Marcus Ingram,2023,2,1.673,0.8365,0.008,0.004,1.90073,0.950365,0.009089,00-0037661,2023,BUF,DB,CB,46.0,1997-09-02,,,26.0
Micah Hyde,2021,2,19.25,9.625,13.3,0.053,26.939452,13.469726,18.612712,00-0030090,2023,BUF,DB,FS,23.0,1990-12-31,GB,159.0,33.0
Jordan Poyer,2023,2,12.5,6.25,7.0,0.028,14.201512,7.100756,7.952847,00-0030114,2023,BUF,DB,SS,21.0,1991-04-25,PHI,218.0,33.0
Taylor Rapp,2023,1,1.77,1.77,1.65,0.008,2.010934,2.010934,1.8746,00-0035663,2023,BUF,DB,SS,20.0,1997-12-22,LA,61.0,26.0
Damar Hamlin,2021,4,3.640476,0.910119,0.160476,0.005,5.094672,1.273668,0.224578,00-0036888,2023,BUF,DB,SS,3.0,1998-03-24,BUF,212.0,26.0
Tre Norwood,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0036846,2023,BUF,DB,FS,38.0,1999-04-19,PIT,245.0,25.0
Jared Mayden,2022,3,2.82,0.94,0.0,0.005,3.459308,1.153103,0.0,00-0035808,2023,BUF,DB,FS,36.0,1998-06-24,,,25.0
Kendall Williamson,2023,4,3.917784,0.979446,0.077784,0.004,4.451077,1.112769,0.088372,00-0038414,2023,BUF,DB,SS,36.0,2000-08-24,CHI,258.0,23.0
Tyler Bass,2023,4,20.4,5.1,12.32,0.023,23.176868,5.794217,13.997011,00-0036162,2023,BUF,K,K,2.0,1997-02-14,BUF,188.0,27.0
Sam Martin,2023,3,6.0,2.0,3.915,0.009,6.816726,2.272242,4.447914,00-0030092,2023,BUF,P,P,8.0,1990-02-27,DET,165.0,34.0
Matt Haack,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033400,2023,BUF,P,P,39.0,1994-07-25,,,29.0
Reid Ferguson,2023,2,2.295,1.1475,0.005,0.005,2.607398,1.303699,0.005681,00-0032497,2023,BUF,LS,LS,69.0,1994-03-24,,,30.0
Nyheim Hines,2023,2,9.0,4.5,2.0,0.02,10.225089,5.112544,2.272242,,2023,BUF,RB,RB,20.0,1996-11-12,IND,104.0,27.0
Zach Davidson,2023,2,1.674,0.837,0.009,0.004,1.901867,0.950933,0.010225,,2023,BUF,TE,TE,84.0,1998-07-15,MIN,168.0,25.0
DaShaun White,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,,2023,BUF,LB,LB,49.0,,,,
